Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,TestString,Mean,Error,StdDev,Median,Ratio,RatioSD,Rank
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,12.60 ns,0.1262 ns,0.1054 ns,12.64 ns,?,?,2
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,12.40 ns,0.0485 ns,0.0430 ns,12.39 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,279.82 ns,12.4342 ns,12.2121 ns,274.13 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,12.32 ns,0.0762 ns,0.0713 ns,12.34 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,12.55 ns,0.1048 ns,0.0980 ns,12.58 ns,?,?,2
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],294.19 ns,1.9618 ns,1.7391 ns,294.63 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],12.53 ns,0.0859 ns,0.0670 ns,12.54 ns,?,?,2
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],12.32 ns,0.0954 ns,0.0892 ns,12.35 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],78.23 ns,1.6503 ns,2.5693 ns,77.34 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],12.13 ns,0.0978 ns,0.0867 ns,12.14 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [22],12.47 ns,0.0679 ns,0.0602 ns,12.50 ns,?,?,2
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,293.54 ns,7.1227 ns,6.3141 ns,291.21 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,12.51 ns,0.0620 ns,0.0517 ns,12.52 ns,?,?,1
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,12.37 ns,0.1014 ns,0.0948 ns,12.40 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,277.93 ns,3.1648 ns,2.9604 ns,278.85 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,11.96 ns,0.0769 ns,0.0642 ns,11.98 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20:30,12.48 ns,0.1235 ns,0.1155 ns,12.50 ns,?,?,2
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],294.92 ns,2.7447 ns,2.4331 ns,295.03 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],12.55 ns,0.0998 ns,0.0779 ns,12.59 ns,?,?,2
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],12.36 ns,0.0829 ns,0.0775 ns,12.39 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],81.81 ns,0.8212 ns,0.7280 ns,82.01 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],12.17 ns,0.0153 ns,0.0136 ns,12.16 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)01:00 [25],12.56 ns,0.0776 ns,0.0725 ns,12.59 ns,?,?,2
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],297.87 ns,5.5170 ns,4.6070 ns,295.69 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],12.52 ns,0.1212 ns,0.1133 ns,12.51 ns,?,?,2
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],12.30 ns,0.1109 ns,0.1037 ns,12.35 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],292.03 ns,15.5956 ns,18.5655 ns,281.69 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],12.20 ns,0.0952 ns,0.0844 ns,12.23 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-(...)30.45 [22],12.70 ns,0.1460 ns,0.1366 ns,12.63 ns,?,?,2
